"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 23 09:36:14 UTC 2023","Fri Jun 23 09:36:15 UTC 2023","460","","Login","","","","Should not login with locked out user credentials",""
"passed","Fri Jun 23 09:37:01 UTC 2023","Fri Jun 23 09:37:02 UTC 2023","536","","Login","","","","Should not login with empty password field",""
"passed","Fri Jun 23 09:36:40 UTC 2023","Fri Jun 23 09:36:41 UTC 2023","1703","","Inventory","","","","The inventory item should be moved to the shopping cart",""
"passed","Fri Jun 23 09:36:40 UTC 2023","Fri Jun 23 09:36:43 UTC 2023","3363","","Shopping cart","","","","Making an order using checkout",""
"passed","Fri Jun 23 09:37:02 UTC 2023","Fri Jun 23 09:37:03 UTC 2023","602","","Login","","","","Should not login with locked out user credentials",""
"passed","Fri Jun 23 09:36:13 UTC 2023","Fri Jun 23 09:36:14 UTC 2023","224","","Login","","","","Should not login with empty fields",""
"passed","Fri Jun 23 09:36:37 UTC 2023","Fri Jun 23 09:36:40 UTC 2023","2781","","Inventory","","","","The inventory item details page should be open",""
"passed","Fri Jun 23 09:37:02 UTC 2023","Fri Jun 23 09:37:02 UTC 2023","618","","Login","","","","Should not login with non-existing user credentials",""
"passed","Fri Jun 23 09:37:01 UTC 2023","Fri Jun 23 09:37:01 UTC 2023","588","","Login","","","","Should not login with empty fields",""
"passed","Fri Jun 23 09:36:03 UTC 2023","Fri Jun 23 09:36:05 UTC 2023","2476","","Shopping cart","","","","Making an order using checkout",""
"passed","Fri Jun 23 09:36:59 UTC 2023","Fri Jun 23 09:37:01 UTC 2023","1084","","Login","","","","Should login with valid credentials",""
"passed","Fri Jun 23 09:36:14 UTC 2023","Fri Jun 23 09:36:14 UTC 2023","397","","Login","","","","Should not login with non-existing user credentials",""
"passed","Fri Jun 23 09:36:04 UTC 2023","Fri Jun 23 09:36:05 UTC 2023","1090","","Inventory","","","","The inventory item should be removed from the shopping cart",""
"passed","Fri Jun 23 09:36:03 UTC 2023","Fri Jun 23 09:36:04 UTC 2023","1234","","Inventory","","","","The inventory item should be moved to the shopping cart",""
"passed","Fri Jun 23 09:36:37 UTC 2023","Fri Jun 23 09:36:40 UTC 2023","3083","","Shopping cart","","","","Returning to the inventory page from the shopping cart page",""
"passed","Fri Jun 23 09:36:13 UTC 2023","Fri Jun 23 09:36:13 UTC 2023","755","","Login","","","","Should login with valid credentials",""
"passed","Fri Jun 23 09:36:00 UTC 2023","Fri Jun 23 09:36:03 UTC 2023","2607","","Inventory","","","","The inventory item details page should be open",""
"passed","Fri Jun 23 09:36:00 UTC 2023","Fri Jun 23 09:36:03 UTC 2023","2611","","Shopping cart","","","","Returning to the inventory page from the shopping cart page",""
"passed","Fri Jun 23 09:36:14 UTC 2023","Fri Jun 23 09:36:14 UTC 2023","280","","Login","","","","Should not login with empty password field",""
"passed","Fri Jun 23 09:36:41 UTC 2023","Fri Jun 23 09:36:43 UTC 2023","1264","","Inventory","","","","The inventory item should be removed from the shopping cart",""
